2026-03-26 06:58:25,747 | WARNING  | motif_annotation | [ANNOTATION DEBUG] enriched_path=/app/data/outputs/MLOY4_IRISIN_Phospho/enriched_ptm_data_phospho.json, exists=True
2026-03-26 06:58:25,811 | WARNING  | motif_annotation | [ANNOTATION DEBUG] Loaded 283 entries from enriched JSON
2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] enriched_map sample keys: ['TCOF1_S1216', 'ANXA2_T48', 'ANXA2_S89', 'TXN_S7', 'ENO1_Y200']
2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample rag_enrichment keys: ['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']
2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample kinase_prediction type=dict, value={}
2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample regulation type=dict, value={'upstream_regulators': [], 'downstream_targets': [], 'kinase_substrate': [], 'evidence_count': 0, 'regulation_evidence': []}
2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG] PTM=Marcks T143, key=MARCKS_T143, enriched_entry_found=True, rag_found=True, rag_type=dict
2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   rag keys=['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']
2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   kinase_prediction type=dict, value={}
2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.upstream_regulators=[]
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.kinase_substrate=[]
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG] PTM=Lmna S390, key=LMNA_S390, enriched_entry_found=True, rag_found=True, rag_type=dict
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   rag keys=['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   kinase_prediction type=dict, value={}
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.upstream_regulators=[]
2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.kinase_substrate=[]
2026-03-26 06:58:25,819 | WARNING  | motif_annotation | [ANNOTATION DEBUG] PTM=Lmna S22, key=LMNA_S22, enriched_entry_found=True, rag_found=True, rag_type=dict
2026-03-26 06:58:25,819 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   rag keys=['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']
2026-03-26 06:58:25,819 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   kinase_prediction type=dict, value={}
2026-03-26 06:58:25,819 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.upstream_regulators=[]
2026-03-26 06:58:25,819 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.kinase_substrate=[]
2026-03-26 07:00:00,445 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,747 | WARNING  | motif_annotation | [ANNOTATION DEBUG] enriched_path=/app/data/outputs/MLOY4_IRISIN_Phospho/enriched_ptm_data_phospho.json, exists=True\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,445 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,811 | WARNING  | motif_annotation | [ANNOTATION DEBUG] Loaded 283 entries from enriched JSON\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,445 | DEBUG    | sse_starlette.sse | chunk: b"event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] enriched_map sample keys: ['TCOF1_S1216', 'ANXA2_T48', 'ANXA2_S89', 'TXN_S7', 'ENO1_Y200']\r\ndata: \r\n\r\n"
2026-03-26 07:00:00,446 | DEBUG    | sse_starlette.sse | chunk: b"event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample rag_enrichment keys: ['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']\r\ndata: \r\n\r\n"
2026-03-26 07:00:00,447 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample kinase_prediction type=dict, value={}\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,447 | DEBUG    | sse_starlette.sse | chunk: b"event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,812 | WARNING  | motif_annotation | [ANNOTATION DEBUG] sample regulation type=dict, value={'upstream_regulators': [], 'downstream_targets': [], 'kinase_substrate': [], 'evidence_count': 0, 'regulation_evidence': []}\r\ndata: \r\n\r\n"
2026-03-26 07:00:00,447 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG] PTM=Marcks T143, key=MARCKS_T143, enriched_entry_found=True, rag_found=True, rag_type=dict\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,448 | DEBUG    | sse_starlette.sse | chunk: b"event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   rag keys=['search_summary', 'articles', 'recent_findings', 'regulation', 'pathways', 'string_db', 'string_interactions', 'diseases', 'localization', 'function_summary', 'aliases', 'go_terms', 'classification', 'hpa', 'gtex', 'biogrid', 'reactome', 'string_indirect', 'isoform_info', 'trajectory', 'abstract_analysis', 'kinase_prediction', 'functional_impact', 'fulltext_analysis', 'ptm_validation']\r\ndata: \r\n\r\n"
2026-03-26 07:00:00,448 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   kinase_prediction type=dict, value={}\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,449 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,817 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.upstream_regulators=[]\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,449 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG]   regulation.kinase_substrate=[]\r\ndata: \r\n\r\n'
2026-03-26 07:00:00,450 | DEBUG    | sse_starlette.sse | chunk: b'event: log\r\ndata: 2026-03-27 00:58:25 2026-03-26 06:58:25,818 | WARNING  | motif_annotation | [ANNOTATION DEBUG] PTM=Lmna S390, key=LMNA_S390, enriched_entry_found=True, rag_found=True, rag_type=dict\r\ndata: \r\n\r\n'
