source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P02340	P10417	Tp53	Bcl2	True	False	True	True	False	True	A
Q3V157	P15314	Q3V157	Irf1	True	True	False	True	True	False	A
F6Y2T6	P00860	F6Y2T6	Odc1	True	True	False	True	True	False	A
P70671	Q80SU4	Irf3	Ifna13	True	True	False	True	True	False	A
P70671	B1AYH7	Irf3	B1AYH7	True	True	False	True	True	False	A
P70671	P09235	Irf3	Ifna9	True	True	False	True	True	False	A
P70671	Q810G2	Irf3	Q810G2	True	True	False	True	True	False	A
P70671	P01572	Irf3	Ifna1	True	True	False	True	True	False	A
P70671	Q61718	Irf3	Q61718	True	True	False	True	True	False	A
P70671	L7MTU6	Irf3	L7MTU6	True	True	False	True	True	False	A
P70671	Q810G3	Irf3	Q810G3	True	True	False	True	True	False	A
P70671	Q61716	Irf3	Ifna11	True	True	False	True	True	False	A
P70671	Q80SS5	Irf3	Ifna12	True	True	False	True	True	False	A
P70671	Q810G5	Irf3	Q810G5	True	True	False	True	True	False	A
P70671	P07351	Irf3	Ifna4	True	True	False	True	True	False	A
P70671	Q1WWN2	Irf3	Q1WWN2	True	True	False	True	True	False	A
P70671	Q810G6	Irf3	Q810G6	True	True	False	True	True	False	A
P02340	P23804	Tp53	Mdm2	True	True	False	True	True	False	A
P42230	P05017	Stat5a	Igf1	True	True	False	True	True	False	A
P27577	P12032	Ets1	Timp1	True	True	True	True	True	False	A
P53762	Q64429	Arnt	Cyp1b1	True	True	False	True	True	False	A
Q3U5D9	Q64429	Q3U5D9	Cyp1b1	True	True	False	True	True	False	A
P02340	P24860	Tp53	Ccnb1	True	False	True	True	False	True	A
P42230	P25322	Stat5a	Ccnd1	True	True	False	True	True	False	A
P31266	P35428	Rbpj	Hes1	True	True	False	True	True	False	A
P16951	P25322	Atf2	Ccnd1	True	True	False	True	True	False	A
P05627	P25322	Jun	Ccnd1	True	True	True	True	True	False	A
Q60591	P07750	Nfatc2	Il4	True	True	False	True	True	False	A
P49698	Q3UWA6	Hnf4a	Gucy2c	True	True	False	True	True	False	A
P11416	P50405	Rara	Sftpb	True	True	False	True	True	False	A
P05627	P39689	Jun	Cdkn1a	True	True	True	True	True	False	A
P05627	P02340	Jun	Tp53	True	False	True	True	False	True	A
A0A979HLR9	P41047	A0A979HLR9	Faslg	True	True	False	True	True	False	A
P19091	P15948	Ar	Klk1b22	True	True	True	True	True	False	A;D
P19091	P00755	Ar	Klk1b1	True	True	True	True	True	False	A;D
P19091	Q61754	Ar	Klk1b24	True	True	True	True	True	False	A;D
P19091	P04071	Ar	Klk1b16	True	True	True	True	True	False	A;D
P19091	Q61759	Ar	Klk1b21	True	True	True	True	True	False	A;D
P19091	P15949	Ar	Klk1b9	True	True	True	True	True	False	A;D
P19091	P15947	Ar	Klk1	True	True	True	True	True	False	A;D
P19091	Q9JM71	Ar	Klk1b27	True	True	True	True	True	False	A;D
P19091	P00756	Ar	Klk1b3	True	True	True	True	True	False	A;D
P19091	P15945	Ar	Klk1b5	True	True	True	True	True	False	A;D
P19091	P07628	Ar	Klk1b8	True	True	True	True	True	False	A;D
P19091	P36369	Ar	Klk1b26	True	True	True	True	True	False	A;D
P19091	P15946	Ar	Klk1b11	True	True	True	True	True	False	A;D
P19091	P00757	Ar	Klk1b4	True	True	True	True	True	False	A;D
P81269	P26361	Atf1	Cftr	True	True	False	True	True	False	A
A0A979HLR9	P48757	A0A979HLR9	Gast	True	True	False	True	True	False	A
Q08369	P05125	Gata4	Nppa	True	True	False	True	True	False	A
P18911	P22605	Rarg	Rarb	True	True	False	True	True	False	A
P22605	P18911	Rarb	Rarg	True	False	True	False	False	False	A
Q04207	P27512	Rela	Cd40	True	True	False	True	True	False	A
Q04207	P01580	Rela	Ifng	True	True	False	True	True	False	A
O08537	P11416	Esr2	Rara	True	True	False	True	True	False	A
P19785	P11416	Esr1	Rara	True	True	False	True	True	False	A
P63015	Z4YJD9	Pax6	Z4YJD9	True	True	False	True	True	False	A
P70314	G3X9G6	Pitx1	G3X9G6	True	True	False	True	True	False	C
P08046	G3X9G6	Egr1	G3X9G6	True	True	False	True	True	False	A;D
P01101	P02340	Fos	Tp53	True	True	False	False	False	False	A
P02340	P01101	Tp53	Fos	True	False	True	True	False	True	A
A0A979HLR9	P01101	A0A979HLR9	Fos	True	True	False	True	True	False	A
A0A979HLR9	P08046	A0A979HLR9	Egr1	True	True	False	True	True	False	A
P08046	Q32NY6	Egr1	Q32NY6	True	False	False	False	False	False	C
P01108	P17182	Myc	Eno1	True	True	False	False	False	False	A
P02340	P25322	Tp53	Ccnd1	True	False	True	True	False	True	A
Q01147	Q9Z2V4	Creb1	Pck1	True	True	False	True	True	False	A
Q04207	P29477	Rela	Nos2	True	True	False	True	True	False	A
P25799	P29477	Nfkb1	Nos2	True	True	False	True	True	False	A
Q06507	A0A2R8VHR8	Atf4	Ddit3	True	True	False	True	True	False	A
Q06507	P35639	Atf4	Ddit3	True	True	False	True	True	False	A
Q06507	Q60765	Atf4	Atf3	True	True	False	True	True	False	A
Q60765	A0A2R8VHR8	Atf3	Ddit3	True	True	False	True	True	False	A
Q60765	P35639	Atf3	Ddit3	True	True	False	True	True	False	A
P97471	G5E899	Smad4	G5E899	True	True	False	True	True	False	A
Q8BUN5	G5E899	Smad3	G5E899	True	True	False	True	True	False	A
A0A087WSP5	P23611	A0A087WSP5	Irf8	True	True	False	True	True	False	A
P63015	P55095	Pax6	Gcg	True	True	False	True	True	False	C
P02340	Q07813	Tp53	Bax	True	True	False	True	True	False	A
P02340	P51945	Tp53	Ccng1	True	True	False	True	True	False	A
P02340	P48316	Tp53	Gadd45a	True	True	True	True	True	False	A
Q3V157	P01580	Q3V157	Ifng	True	True	False	True	True	False	A
P33242	P27786	Nr5a1	Cyp17a1	True	True	False	True	True	False	A
P01101	A0A087WR05	Fos	A0A087WR05	True	False	False	False	False	False	B
Q9WVH4	P41047	Foxo3	Faslg	True	True	False	True	True	False	A
Q61069	P19096	Usf1	Fasn	True	True	False	True	True	False	A
P41969	P08228	Elk1	Sod1	True	True	False	True	True	False	A
P26323	O88186	Fli1	Gp9	True	True	False	True	True	False	A
P26323	Q9QUM0	Fli1	Itga2b	True	True	False	True	True	False	A
P08046	P41969	Egr1	Elk1	True	True	False	False	False	False	A
P41969	P08046	Elk1	Egr1	True	True	False	True	True	False	A
P41158	P08046	Elk4	Egr1	True	True	False	True	True	False	C
P53566	P07724	Cebpa	Alb	True	True	False	True	True	False	A
P15314	Q4VK74	Irf1	Ifnl2	True	True	False	True	True	False	C
P15314	Q8CGK6	Irf1	Ifnl3	True	True	False	True	True	False	C
P70671	Q4VK74	Irf3	Ifnl2	True	True	False	True	True	False	C
P70671	Q8CGK6	Irf3	Ifnl3	True	True	False	True	True	False	C
Q01147	P25322	Creb1	Ccnd1	True	True	False	True	True	False	A
A0A087WSP5	P01580	A0A087WSP5	Ifng	True	True	True	True	True	False	A
P05627	P08505	Jun	Il6	True	True	False	True	True	False	A
Q61221	P07321	Hif1a	Epo	True	True	False	True	True	False	A
P01108	P48964	Myc	Cdc25a	True	True	False	True	True	False	A
Q9JJP2	P02340	Tp73	Tp53	True	True	False	True	True	False	C
P53762	P07321	Arnt	Epo	True	True	False	True	True	False	A
Q9JJP2	P23804	Tp73	Mdm2	True	True	False	True	True	False	A
